epoch,step,test_acc,test_f1,test_loss,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
0,5,,,,,,,,,,0.6000000238418579,0.6000000238418579,1.0307456254959106
0,5,,,,0.4333333373069763,,0.4333333373069763,,1.0650304555892944,,,,
1,11,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.9475145936012268
1,11,,,,0.7111111283302307,,0.7111111283302307,,0.9544225335121155,,,,
2,17,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.8971299529075623
2,17,,,,0.7222222089767456,,0.7222222089767456,,0.9008924961090088,,,,
3,23,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.853122353553772
3,23,,,,0.7222222089767456,,0.7222222089767456,,0.863430380821228,,,,
4,29,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.815633237361908
4,29,,,,0.7222222089767456,,0.7222222089767456,,0.8237071633338928,,,,
5,35,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.7802973389625549
5,35,,,,0.7222222089767456,,0.7222222089767456,,0.7814724445343018,,,,
6,41,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.7504028081893921
6,41,,,,0.7222222089767456,,0.7222222089767456,,0.7448760867118835,,,,
7,47,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.7239977717399597
7,47,,,,0.7222222089767456,,0.7222222089767456,,0.7117209434509277,,,,
8,49,,,,,0.875,,0.875,,0.585089921951294,,,
8,53,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.6941115260124207
8,53,,,,0.7222222089767456,,0.7222222089767456,,0.6799837350845337,,,,
9,59,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.6671634912490845
9,59,,,,0.7222222089767456,,0.7222222089767456,,0.6504425406455994,,,,
10,65,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.636617124080658
10,65,,,,0.7222222089767456,,0.7222222089767456,,0.6227705478668213,,,,
11,71,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.6154859066009521
11,71,,,,0.7222222089767456,,0.7222222089767456,,0.6002167463302612,,,,
12,77,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.595037579536438
12,77,,,,0.7222222089767456,,0.7222222089767456,,0.5833085179328918,,,,
13,83,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.5812548398971558
13,83,,,,0.7222222089767456,,0.7222222089767456,,0.5610378980636597,,,,
14,89,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.576258659362793
14,89,,,,0.7222222089767456,,0.7222222089767456,,0.5498310327529907,,,,
15,95,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.5556680560112
15,95,,,,0.7222222089767456,,0.7222222089767456,,0.5306441783905029,,,,
16,99,,,,,0.625,,0.625,,0.5584628582000732,,,
16,101,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.5440524816513062
16,101,,,,0.7222222089767456,,0.7222222089767456,,0.5154308676719666,,,,
17,107,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.5316375494003296
17,107,,,,0.7222222089767456,,0.7222222089767456,,0.5027297139167786,,,,
18,113,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.5227527022361755
18,113,,,,0.7222222089767456,,0.7222222089767456,,0.4935978353023529,,,,
19,119,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.5095608234405518
19,119,,,,0.7333333492279053,,0.7333333492279053,,0.4815702736377716,,,,
20,125,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.503708004951477
20,125,,,,0.7333333492279053,,0.7333333492279053,,0.47367334365844727,,,,
21,131,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.49222496151924133
21,131,,,,0.7555555701255798,,0.7555555701255798,,0.4628482460975647,,,,
22,137,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.4871261417865753
22,137,,,,0.7777777910232544,,0.7777777910232544,,0.4535824954509735,,,,
23,143,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.48034992814064026
23,143,,,,0.7666666507720947,,0.7666666507720947,,0.4460645318031311,,,,
24,149,,,,,0.699999988079071,,0.699999988079071,,0.4344140589237213,,,
24,149,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.47029271721839905
24,149,,,,0.7666666507720947,,0.7666666507720947,,0.4384850859642029,,,,
25,155,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.4642559587955475
25,155,,,,0.7888888716697693,,0.7888888716697693,,0.4297264516353607,,,,
26,161,,,,,,,,,,0.7333333492279053,0.7333333492279053,0.45616278052330017
26,161,,,,0.8222222328186035,,0.8222222328186035,,0.4238395690917969,,,,
