epoch,step,test_acc,test_f1,test_loss,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
27,167,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.45339182019233704
27,167,,,,0.8111110925674438,,0.8111110925674438,,0.4157411754131317,,,,
28,173,,,,,,,,,,0.6666666865348816,0.6666666865348816,0.4536377489566803
28,173,,,,0.7555555701255798,,0.7555555701255798,,0.4142458736896515,,,,
29,179,,,,,,,,,,0.7666666507720947,0.7666666507720947,0.4383971095085144
29,179,,,,0.7888888716697693,,0.7888888716697693,,0.4044753611087799,,,,
30,185,,,,,,,,,,0.8333333134651184,0.8333333134651184,0.4326992928981781
30,185,,,,0.8666666746139526,,0.8666666746139526,,0.39790403842926025,,,,
31,191,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.425814151763916
31,191,,,,0.8666666746139526,,0.8666666746139526,,0.391288161277771,,,,
32,197,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.42071807384490967
32,197,,,,0.8777777552604675,,0.8777777552604675,,0.385466992855072,,,,
33,199,,,,,0.875,,0.875,,0.4189676344394684,,,
33,203,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.41641172766685486
33,203,,,,0.8777777552604675,,0.8777777552604675,,0.3795432150363922,,,,
34,209,,,,,,,,,,0.7666666507720947,0.7666666507720947,0.4156627357006073
34,209,,,,0.855555534362793,,0.855555534362793,,0.37557297945022583,,,,
35,215,,,,,,,,,,0.7666666507720947,0.7666666507720947,0.4110184907913208
35,215,,,,0.855555534362793,,0.855555534362793,,0.3702848553657532,,,,
36,221,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.4013550877571106
36,221,,,,0.8777777552604675,,0.8777777552604675,,0.3654186725616455,,,,
37,227,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.39623919129371643
37,227,,,,0.9111111164093018,,0.9111111164093018,,0.3599022328853607,,,,
38,233,,,,,,,,,,0.8333333134651184,0.8333333134651184,0.39788904786109924
38,233,,,,0.8777777552604675,,0.8777777552604675,,0.357096791267395,,,,
39,239,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.3889754116535187
39,239,,,,0.8777777552604675,,0.8777777552604675,,0.3503112494945526,,,,
40,245,,,,,,,,,,0.8999999761581421,0.8999999761581421,0.38193854689598083
40,245,,,,0.9222221970558167,,0.9222221970558167,,0.3450637459754944,,,,
41,249,,,,,0.9375,,0.9375,,0.3527221977710724,,,
41,251,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.37877193093299866
41,251,,,,0.9444444179534912,,0.9444444179534912,,0.34077972173690796,,,,
42,257,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.37506020069122314
42,257,,,,0.9333333373069763,,0.9333333373069763,,0.3364032506942749,,,,
43,263,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.3739706575870514
43,263,,,,0.8777777552604675,,0.8777777552604675,,0.33437520265579224,,,,
44,269,,,,,,,,,,0.8999999761581421,0.8999999761581421,0.3641422986984253
44,269,,,,0.8999999761581421,,0.8999999761581421,,0.32703784108161926,,,,
45,275,,,,,,,,,,0.8999999761581421,0.8999999761581421,0.3594125807285309
45,275,,,,0.9555555582046509,,0.9555555582046509,,0.3261893689632416,,,,
46,281,,,,,,,,,,0.8999999761581421,0.8999999761581421,0.357464462518692
46,281,,,,0.9555555582046509,,0.9555555582046509,,0.31869518756866455,,,,
47,287,,,,,,,,,,0.8666666746139526,0.8666666746139526,0.3566478192806244
47,287,,,,0.9444444179534912,,0.9444444179534912,,0.3153577744960785,,,,
48,293,,,,,,,,,,0.8999999761581421,0.8999999761581421,0.34976089000701904
48,293,,,,0.9333333373069763,,0.9333333373069763,,0.3102087676525116,,,,
49,299,,,,,1.0,,1.0,,0.20390169322490692,,,
49,299,,,,,,,,,,0.9333333373069763,0.9333333373069763,0.3432920575141907
49,299,,,,0.9555555582046509,,0.9555555582046509,,0.3068127930164337,,,,
50,300,1.0,1.0,0.3715880811214447,,,,,,,,,
